Specialty,Doctor's Name,Gender,Language,Office Address,City,State,Zip Code,Office Phone Number,Accepting New Patients,Plan/Network
General Physician,Dr. Jeffrey S. Edmonds,Male,Spanish;English,4884 Lawman Avenue,Alexandria,VA,22310,703-215-7999,YES,PPO
Pediatrics,Dr. Siham Areej Toma,Male,English,1976 Payne Street,Rocky Gap,VA,24124,276-928-7966,YES,PPO;HMO
General Physician,Dr. Katja Hoover,Female,Russian;Spanish;English,3653 Lawman Avenue,Vienna,VA,22181,703-255-2933,NO,PPO;HMO
Gynecology,Dr. Virginia R. Smith,Female,French;English,1325 Queens Lane,Virgilina,VA,24598,434-585-1038,YES,PPO   
Cardiologist,Dr. Molly Medley,Female,English,4197 Melody Lane,Beaverdam,VA,23015,804-449-5406,NO,HMO
Dermatology,Dr. Tyler Whitehouse,Male,English,4756 Broadcast Drive,Richmond,VA,23224,703-954-1279,NO,HMO
Obstetrics,Dr. Pavia Sandgreen,Male,Hindi;English,604 Jefferson Street,Chesapeake,VA,23323,757-822-3443,YES,PPO
Psychiatry,Dr. Jeanne Vasilyeva,Female,German;English,1731 Jehovah Drive,Harrisonburg,VA,22800,540-421-3349,YES,PPO;HMO
Pediatrics,Dr. Scheving Grettisson,Male,English,4271 Lawman Avenue,Washington,VA,20011,703-259-3370,NO,PPO;HMO
General Physician,Dr. Ada Avilés Granado,Female,Russian;English,2028 Ashford Drive,Arlington,VA,22201,703-637-5493,YES,PPO   
Pediatrics,Dr. Leonard Berglund,Male,Spanish;English,1936 Douglas Dairy Road,Bristol,VA,24209,276-642-3148,NO,HMO
General Physician,Dr. Viola Costa,Female,German;French;English,294 Payne Street,Cana ,VA,24317,276-755-7117,NO,HMO
Gynecology,Dr. Benjamin Meunier,Male,English,4365 Meadowview Drive,Fredericksburg,VA,22408,540-845-0535,YES,PPO
Cardiologist,Dr. Hanne Larsen,Female,Russian;Spanish;English,4537 Eden Drive,Quinton,VA,23141,804-932-5446,YES,PPO;HMO
